Date,ID,Distance (Km),Duration (HH:mm),Over speeding,Over RPM,Idle time,Acceleration,Deceleration,Total,Ranking,Target Variable,Quarter_bin,Month,Year,Duration_bin
31/01/2022,7090016095,5332.3,127.56666666666666,96,100,15,100,100,84,86,Good,Q1_2022,1,2022,"(100, 200]"
31/01/2022,7090016184,9536.5,171.16666666666666,86,97,16,97,97,79,133,Risky,Q1_2022,1,2022,"(100, 200]"
31/01/2022,7090016225,5528.3,126.63333333333334,98,100,16,96,96,84,86,Good,Q1_2022,1,2022,"(100, 200]"
31/01/2022,7090016137,1078.4,26.333333333333332,80,76,46,99,99,80,126,Good,Q1_2022,1,2022,"(0, 100]"
31/01/2022,7090016202,6886.7,156.81666666666666,95,100,22,100,100,85,76,Good,Q1_2022,1,2022,"(100, 200]"
31/01/2022,7090016025,4431.9,134.88333333333333,98,99,39,99,99,89,24,Good,Q1_2022,1,2022,"(100, 200]"
31/01/2022,7090016372,6578.4,147.36666666666667,72,100,33,100,100,79,133,Risky,Q1_2022,1,2022,"(100, 200]"
31/01/2022,7090016296,7123.5,165.56666666666666,76,100,55,100,100,84,86,Good,Q1_2022,1,2022,"(100, 200]"
31/01/2022,7090016374,6208.6,136.43333333333334,77,100,22,100,100,79,133,Risky,Q1_2022,1,2022,"(100, 200]"
31/01/2022,7090016243,5592.3,89.98333333333333,89,98,26,98,98,83,100,Good,Q1_2022,1,2022,"(0, 100]"
31/01/2022,7090016015,7574.2,185.2,84,100,17,100,100,80,126,Good,Q1_2022,1,2022,"(100, 200]"
31/01/2022,7090016363,6484.9,142.13333333333333,85,98,26,96,96,81,113,Good,Q1_2022,1,2022,"(100, 200]"
31/01/2022,7090016041,5004.4,111.95,92,97,59,99,99,89,24,Good,Q1_2022,1,2022,"(100, 200]"
31/01/2022,7090016203,5480.7,124.96666666666667,83,100,25,99,100,81,113,Good,Q1_2022,1,2022,"(100, 200]"
31/01/2022,0,42396,2484.7166666666667,92,94,51,98,98,87,54,Good,Q1_2022,1,2022,"(2400, 2500]"
31/01/2022,7090016114,7768.3,115.06666666666666,63,87,51,88,88,73,149,Risky,Q1_2022,1,2022,"(100, 200]"
31/01/2022,7090016170,4931,110.83333333333333,90,99,53,100,100,88,34,Good,Q1_2022,1,2022,"(100, 200]"
31/01/2022,7090016364,7014.4,91.03333333333333,65,82,25,82,82,66,153,Risky,Q1_2022,1,2022,"(0, 100]"
31/01/2022,7090016145,6726.1,152.68333333333334,86,97,26,95,98,81,113,Good,Q1_2022,1,2022,"(100, 200]"
31/01/2022,7090016287,7869.4,152.36666666666667,94,92,32,98,98,84,86,Good,Q1_2022,1,2022,"(100, 200]"
31/01/2022,7090016208,7055,161.61666666666667,86,100,37,100,100,84,86,Good,Q1_2022,1,2022,"(100, 200]"
