Date,Distance (Km),Duration (HH:mm),Over speeding,Over RPM,Idle time,Acceleration,Deceleration,Total,Ranking,Target Variable,Quarter_bin,Month,Year
30/06/2022,0.0,20:24:00,99,100,68,100,100,88,93,Good,Q2_2023,5,2022
31/07/2023,8451.7,0.2833333333333333,80,100,43,100,94,85,58,Good,Q2_2023,8,2023
30/09/2023,7215.6,177.38333333333333,71,100,53,100,100,78,75,Risky,Q3_2023,8,2023
31/01/2023,270.7,127.68333333333334,99,100,56,98,97,94,28,Good,Q4_2022,6,2024
31/05/2022,2273.5,6.366666666666666,99,100,51,100,100,86,22,Good,Q2_2022,2,2023
31/08/2023,5887.7,2.6666666666666665,82,100,49,100,100,86,69,Good,Q1_2023,1,2023
31/07/2022,4379.3,20:24:00,89,100,26,100,99,87,97,Good,Q2_2022,6,2022
30/09/2023,6426.4,125.01666666666667,79,95,45,99,92,88,133,Good,Q3_2022,9,2022
30/11/2022,5089.5,105.43333333333334,78,100,39,100,99,88,107,Good,Q2_2022,12,2022
31/01/2023,674.4,259.6166666666667,100,100,90,100,100,93,2,Good,Q4_2022,1,2023
31/01/2023,7194.9,105.76666666666667,96,100,35,100,94,85,130,Risky,Q4_2022,1,2023
31/08/2023,3728.7,57.083333333333336,88,95,43,100,100,88,97,Good,Q3_2023,8,2023
30/06/2023,6023.6,40.833333333333336,87,100,53,99,98,88,46,Good,Q2_2023,6,2023
31/05/2022,4802.2,171.08333333333334,79,100,36,100,100,89,61,Good,Q2_2022,5,2022
28/02/2022,5422.7,6.366666666666666,89,99,55,100,99,86,113,Good,Q2_2022,6,2022
30/09/2022,5839.3,22.466666666666665,86,100,41,89,99,80,99,Good,Q3_2022,7,2022
31/01/2023,11141.1,163.93333333333334,77,100,54,100,99,79,133,Good,Q4_2022,1,2023
30/09/2023,434.4,261.81666666666666,87,100,61,100,100,88,94,Good,Q3_2023,9,2023
28/02/2023,0.0,9.816666666666666,100,100,100,100,100,100,14,Good,Q1_2024,2,2023
31/01/2022,1516.4,20:24:00,100,100,59,100,100,90,17,Good,Q1_2022,2,2022
30/09/2022,4306.9,14.283333333333333,89,100,38,89,96,81,111,Good,Q3_2022,7,2022
30/06/2023,4094.6,75.38333333333334,88,100,50,100,100,83,49,Good,Q2_2023,6,2023
31/12/2023,5215.7,211.46666666666667,61,100,24,100,100,71,145,Risky,Q4_2023,10,2023
31/01/2024,5600.9,151.01666666666668,83,100,46,100,100,88,86,Good,Q4_2023,2,2024
30/11/2023,5283.2,126.63333333333334,19,100,32,100,100,71,170,Risky,Q1_2023,12,2023
30/06/2022,5463.7,84.28333333333333,96,100,40,99,100,81,92,Good,Q2_2022,6,2022
31/03/2022,6369.0,6.366666666666666,91,100,43,99,98,86,77,Good,Q1_2022,10,2022
30/09/2023,1463.6,181.23333333333332,52,100,82,100,100,80,132,Risky,Q3_2023,9,2023
30/11/2023,278.1,134.83333333333334,100,100,61,100,99,92,7,Good,Q4_2023,11,2023
30/06/2022,4986.2,00:00:00,85,100,34,100,96,85,51,Good,Q2_2022,5,2022
31/01/2024,464.4,127.98333333333333,74,100,91,100,100,100,12,Good,Q4_2023,2,2024
30/04/2023,6108.8,127.38333333333334,95,100,46,100,98,85,36,Good,Q1_2023,4,2023
31/05/2023,8226.6,99.61666666666666,87,100,32,100,100,88,73,Good,Q4_2022,2,2023
28/02/2023,5842.4,09:36:00,100,100,73,100,100,86,16,Good,Q4_2022,2,2022
31/01/2023,11229.4,170.43333333333334,90,98,42,92,99,87,87,Good,Q4_2022,1,2023
31/01/2023,10330.6,259.6166666666667,87,100,58,100,100,88,106,Good,Q4_2022,1,2023
30/06/2023,5858.4,125.56666666666666,87,100,78,100,100,58,45,Risky,Q2_2023,3,2023
31/01/2023,8651.4,112.38333333333334,91,100,52,98,95,92,109,Good,Q4_2022,12,2022
31/10/2023,5948.5,63.68333333333333,92,99,57,94,92,88,101,Good,Q2_2022,8,2023
31/01/2023,5325.7,99.61666666666666,80,100,35,100,100,84,93,Good,Q2_2023,5,2023
31/08/2023,6190.0,79.93333333333334,89,100,28,100,100,87,46,Good,Q3_2023,5,2023
30/09/2023,10064.2,121.11666666666666,96,100,42,100,100,86,128,Good,Q3_2023,10,2023
31/03/2023,516.2,112.08333333333333,90,100,64,100,100,88,18,Good,Q1_2023,4,2023
30/06/2022,6981.0,2484.7166666666667,87,99,66,100,99,84,121,Good,Q3_2023,2,2023
31/10/2023,6290.4,171.16666666666666,100,100,79,99,100,83,37,Good,Q2_2022,11,2022
30/11/2023,8338.5,444.3833333333333,79,100,30,100,100,80,134,Good,Q4_2023,12,2023
31/08/2023,5953.5,57.083333333333336,99,100,67,100,100,82,35,Good,Q3_2023,8,2023
31/08/2022,10433.5,63.68333333333333,94,97,35,100,100,85,46,Good,Q2_2023,9,2022
30/09/2023,3826.8,134.88333333333333,88,100,49,100,100,80,50,Good,Q2_2022,6,2023
30/09/2023,4528.3,9.016666666666667,96,91,42,96,99,86,56,Good,Q3_2023,9,2023
28/02/2022,6306.4,87.48333333333333,87,100,42,100,100,84,86,Good,Q2_2022,2,2022
31/05/2023,10503.7,118.26666666666667,59,100,42,100,98,79,171,Risky,Q2_2022,1,2023
31/10/2022,6524.3,3.783333333333333,90,100,55,100,100,85,102,Good,Q3_2022,9,2022
28/02/2023,0.0,181.63333333333333,99,100,69,100,100,100,14,Good,Q1_2024,2,2023
31/01/2023,9279.3,87.48333333333333,76,100,34,100,100,86,54,Good,Q3_2023,9,2022
30/04/2023,544.1,129.03333333333333,9,98,49,100,93,88,149,Risky,Q1_2023,3,2023
30/11/2023,8026.1,153.86666666666667,79,100,67,100,100,83,143,Good,Q4_2023,11,2023
31/05/2022,7694.5,2.9833333333333334,84,100,28,100,100,82,83,Good,Q2_2022,10,2022
31/05/2023,121.0,163.53333333333333,99,100,57,100,99,86,7,Good,Q2_2023,7,2023
31/01/2023,74.2,102.66666666666667,85,100,51,98,100,94,5,Good,Q4_2022,1,2022
30/04/2023,4608.5,131.88333333333333,100,100,100,100,100,89,46,Risky,Q1_2023,2,2023
31/08/2022,5348.9,40.833333333333336,86,98,38,100,99,89,88,Good,Q3_2022,7,2022
29/02/2024,0.0,46.36666666666667,98,100,77,100,100,92,20,Good,Q1_2024,2,2024
31/12/2022,8109.9,00:00:00,81,100,47,99,100,93,5,Good,Q4_2022,12,2022
30/11/2023,0.0,15:36:00,55,100,16,100,100,70,172,Risky,Q3_2023,2,2023
31/01/2023,5204.1,163.48333333333332,94,100,32,99,100,86,77,Good,Q2_2023,7,2023
31/08/2023,2908.1,147.36666666666667,83,100,37,99,100,86,16,Good,Q2_2022,2,2023
29/02/2024,2639.3,124.96666666666667,100,100,100,100,100,100,42,Good,Q2_2022,2,2024
31/05/2023,0.0,164.31666666666666,85,100,61,100,100,87,100,Good,Q2_2023,7,2023
30/11/2023,55.9,241.46666666666667,81,100,32,100,100,86,127,Good,Q4_2023,12,2023
29/02/2024,4782.8,20:24:00,73,100,60,100,100,87,149,Good,Q2_2022,6,2022
28/02/2023,992.8,148.16666666666666,96,100,45,100,100,86,7,Good,Q1_2023,3,2023
31/07/2023,69.2,58.083333333333336,95,100,51,100,100,87,89,Good,Q2_2023,7,2023
31/07/2022,5490.2,181.63333333333333,100,100,26,100,100,83,14,Good,Q2_2022,6,2022
31/01/2024,8153.7,145.83333333333334,98,100,84,98,99,88,95,Good,Q4_2023,11,2023
28/02/2022,230.6,127.53333333333333,99,100,82,100,100,88,100,Good,Q2_2023,6,2023
30/09/2022,115.4,63.68333333333333,99,100,59,100,100,90,9,Good,Q3_2022,9,2022
31/12/2023,10769.5,274.3833333333333,83,100,25,99,99,74,165,Risky,Q4_2023,12,2023
31/10/2023,3448.7,104.18333333333334,95,100,44,100,100,85,100,Good,Q3_2023,5,2023
31/05/2023,5429.6,181.63333333333333,99,100,45,100,100,84,95,Good,Q2_2023,5,2023
31/08/2023,4.2,124.01666666666667,86,100,48,97,99,91,22,Good,Q3_2023,2,2023
31/05/2022,5308.4,112.18333333333334,96,100,28,100,100,87,93,Good,Q2_2022,5,2022
31/05/2022,288.5,156.83333333333334,100,100,39,100,100,89,4,Good,Q2_2022,6,2022
31/07/2023,5690.2,119.03333333333333,95,100,83,100,100,81,100,Good,Q3_2023,8,2023
28/02/2022,3.1,126.16666666666667,100,100,56,100,100,87,82,Good,Q2_2022,2,2022
29/02/2024,4956.3,00:00:00,91,100,39,97,100,82,121,Good,Q1_2024,11,2024
31/01/2023,10046.1,269.03333333333336,81,100,56,100,100,85,134,Good,Q4_2022,7,2023
31/03/2022,5596.0,79.93333333333334,100,94,43,100,99,85,18,Good,Q1_2022,4,2022
31/05/2023,29.7,10.866666666666667,97,100,62,100,100,100,55,Good,Q2_2023,12,2023
31/07/2023,7068.5,159.83333333333334,92,98,51,100,100,91,85,Good,Q4_2022,2,2023
31/01/2022,6652.2,91.03333333333333,96,99,70,100,99,86,139,Good,Q1_2022,1,2022
30/11/2022,7086.0,239.78333333333333,98,100,68,99,99,87,36,Good,Q4_2022,10,2022
30/04/2022,5944.4,39.583333333333336,84,100,32,100,100,86,150,Good,Q1_2022,4,2023
31/12/2023,8746.8,185.48333333333332,73,100,39,100,99,84,141,Good,Q4_2023,12,2023
30/11/2023,5299.8,1.1666666666666667,95,100,45,99,99,91,72,Good,Q4_2023,12,2023
30/04/2022,7884.5,09:36:00,90,99,69,100,100,85,72,Good,Q1_2022,4,2022
31/10/2023,9455.8,174.31666666666666,96,100,53,100,97,88,96,Good,Q3_2023,12,2023
30/06/2023,5716.8,117.41666666666667,82,100,31,100,100,85,70,Good,Q2_2023,6,2023
30/11/2023,0.0,124.96666666666667,90,100,83,100,100,90,8,Good,Q1_2022,2,2023
31/01/2023,622.9,132.73333333333332,100,100,44,100,100,100,15,Good,Q4_2022,1,2023
31/03/2023,5446.7,9.816666666666666,89,100,66,100,94,80,117,Good,Q1_2023,3,2023
31/10/2022,77.7,110.21666666666667,100,100,60,100,99,100,17,Good,Q3_2023,2,2023
31/05/2022,5194.0,79.93333333333334,99,100,25,100,100,81,104,Good,Q2_2022,6,2022
31/03/2023,55.4,157.61666666666667,87,100,62,100,98,88,34,Good,Q1_2023,10,2023
31/03/2022,4795.1,48.03333333333333,87,100,28,100,100,85,156,Good,Q1_2022,4,2022
31/12/2022,6151.2,14:24:00,81,100,26,100,100,80,51,Good,Q4_2022,11,2022
31/01/2023,6110.7,97.26666666666667,90,100,34,100,100,85,42,Good,Q2_2022,1,2022
31/05/2023,8277.2,119.98333333333333,99,100,76,98,100,92,25,Good,Q2_2023,7,2023
30/06/2023,6222.7,92.48333333333333,100,100,70,99,99,95,71,Good,Q2_2023,10,2023
30/06/2023,3032.2,112.38333333333334,100,100,76,100,100,88,16,Good,Q2_2023,7,2023
31/12/2023,9758.2,274.3833333333333,75,100,49,100,99,79,125,Good,Q4_2023,12,2023
28/02/2022,127.8,09:36:00,96,100,41,98,100,99,16,Good,Q1_2024,2,2022
31/01/2022,6360.3,99.46666666666667,93,95,43,98,100,79,135,Good,Q1_2022,3,2022
29/02/2024,1829.2,189.46666666666667,68,99,53,100,100,80,86,Good,Q1_2024,2,2024
31/03/2022,5558.5,87.33333333333333,96,100,54,100,100,86,106,Good,Q1_2022,2,2022
30/04/2023,5996.5,153.03333333333333,99,100,71,100,100,78,139,Risky,Q1_2023,4,2023
31/08/2022,6043.9,160.91666666666666,89,95,32,99,100,80,41,Good,Q3_2022,8,2022
30/06/2022,5217.9,81.78333333333333,97,100,52,100,99,83,72,Good,Q2_2022,7,2022
29/02/2024,5959.1,57.233333333333334,54,98,51,99,93,74,121,Good,Q1_2024,2,2024
30/09/2023,5434.1,193.38333333333333,89,100,52,100,95,83,80,Risky,Q3_2023,9,2023
30/04/2023,7348.4,160.56666666666666,80,100,81,100,97,85,137,Risky,Q1_2023,4,2023
31/10/2023,0.0,153.03333333333333,100,100,84,100,100,94,1,Good,Q3_2023,10,2023
31/10/2022,5948.6,0.8166666666666667,91,100,20,98,100,84,113,Good,Q3_2022,7,2022
31/03/2023,7177.3,175.31666666666666,99,100,80,98,97,85,159,Good,Q1_2023,3,2023
30/11/2023,9191.9,256.26666666666665,54,100,42,100,99,73,144,Risky,Q4_2023,11,2024
31/05/2023,9152.5,79.13333333333334,82,100,37,100,100,81,150,Good,Q2_2023,8,2023
29/02/2024,4923.5,142.48333333333332,54,100,24,100,100,85,112,Good,Q1_2024,2,2024
29/02/2024,0.0,9.816666666666666,99,100,87,100,100,100,4,Good,Q1_2024,1,2023
31/10/2022,3007.7,162.63333333333333,85,100,41,92,99,80,41,Good,Q3_2022,10,2022
31/01/2023,11243.4,229.31666666666666,73,100,59,99,100,86,153,Risky,Q4_2022,1,2023
30/11/2023,7002.7,134.83333333333334,93,100,36,96,99,89,9,Good,Q4_2023,12,2023
31/05/2022,0.0,127.31666666666666,100,100,100,100,100,100,12,Good,Q1_2024,5,2024
31/10/2022,5241.3,117.88333333333334,99,100,66,100,100,86,126,Good,Q3_2022,9,2023
31/12/2023,8616.9,174.53333333333333,55,99,38,100,98,75,164,Risky,Q4_2023,12,2024
31/12/2022,10436.8,242.41666666666666,91,100,39,100,100,89,120,Good,Q4_2022,7,2022
31/01/2024,6631.6,28.166666666666668,95,100,44,100,97,84,111,Good,Q4_2023,2,2024
30/11/2023,9306.0,256.26666666666665,95,100,43,99,99,77,111,Good,Q4_2023,11,2022
31/01/2023,3272.9,124.01666666666667,83,100,42,100,100,88,89,Good,Q4_2022,2,2023
30/06/2023,3037.1,13:12:00,76,100,41,100,100,70,171,Risky,Q4_2023,12,2023
30/06/2022,0.0,15:36:00,99,100,81,100,100,92,16,Good,Q2_2022,3,2022
31/05/2023,0.0,156.83333333333334,100,100,65,100,100,94,20,Good,Q2_2023,6,2023
31/05/2023,5968.0,145.81666666666666,99,91,40,100,100,82,110,Good,Q2_2023,8,2023
30/11/2022,8704.9,183.58333333333334,91,100,41,100,100,65,106,Good,Q4_2022,6,2022
28/02/2022,5562.3,07:12:00,97,100,30,100,100,85,83,Good,Q1_2022,2,2022
30/06/2023,9746.6,105.28333333333333,75,99,38,100,100,84,88,Good,Q2_2023,6,2023
