Date,ID,Distance (Km),Duration (HH:mm),Over speeding,Over RPM,Idle time,Acceleration,Deceleration,Total,Ranking,Target Variable
1/31/2022,7090016260,0.1,00:02,100,100,100,100,100,100,1,Good
1/31/2022,7090016381,0.4,00:10,100,100,100,100,100,100,1,Good
1/31/2022,7090016358,20.6,08:03,100,100,24,100,100,87,54,Good
1/31/2022,7090016278,31.0,05:31,100,100,30,100,96,87,54,Good
1/31/2022,7090016263,10.2,12:48,100,100,29,100,100,88,34,Good
1/31/2022,7090017399,7.2,04:28,100,100,39,100,100,90,13,Good
1/31/2022,7090016379,0.4,02:40,100,100,20,100,100,86,67,Good
1/31/2022,7090016069,1.2,09:15,100,100,91,100,100,99,5,Good
1/31/2022,7090000001,0.0,00:01,100,100,100,100,100,100,1,Good
1/31/2022,7090016104,28.5,56:13:00,100,100,43,99,100,90,13,Good
2/28/2022,7092016092,0.0,00:21,100,100,0,100,100,83,115,Good
2/28/2022,7090016260,0.0,00:01,100,100,100,100,100,100,1,Good
2/28/2022,7090016275,0.0,00:36,100,100,4,100,100,84,105,Good
2/28/2022,7090016358,31.5,06:04,100,100,21,100,100,87,55,Good
2/28/2022,7090016066,33.0,03:40,100,100,55,100,100,92,11,Good
2/28/2022,7090017399,4.0,01:57,100,100,55,100,100,92,11,Good
2/28/2022,7090016355,0.7,02:45,100,100,20,100,100,86,70,Good
2/28/2022,7090016379,0.7,00:50,100,100,65,100,100,94,9,Good
2/28/2022,7090016108,0.0,00:00,100,100,100,100,100,100,1,Good
3/31/2022,7090000000,0.0,00:00,100,100,100,100,100,100,1,Good
3/31/2022,7092016045,29.1,00:32,100,100,100,63,100,93,8,Good
3/31/2022,7090016260,0.1,00:26,100,100,100,100,100,100,1,Good
3/31/2022,7090016358,34.7,22:01,100,100,82,100,100,97,6,Good
3/31/2022,7090016379,2.6,05:43,100,100,47,96,100,90,16,Good
3/31/2022,7090016069,0.4,01:13,100,100,100,100,100,100,1,Good
3/31/2022,7090016361,3.4,09:37,100,100,37,100,100,89,29,Good
3/31/2022,7090016104,10.4,17:19,100,100,41,100,100,90,16,Good
4/30/2022,7092016030,0.0,00:03,100,100,1,100,100,83,125,Good
4/30/2022,7090016260,0.0,00:10,100,100,100,100,100,100,1,Good
4/30/2022,7090016375,0.0,00:02,100,100,100,100,100,100,1,Good
4/30/2022,7090016381,0.1,00:27,100,100,19,100,100,86,71,Good
4/30/2022,7090016180,22.0,32:41:00,100,100,40,99,99,90,18,Good
4/30/2022,7090016263,18.9,50:15:00,100,100,55,100,100,92,12,Good
4/30/2022,7090017399,27.9,02:54,100,100,36,86,100,87,47,Good
4/30/2022,7090016277,0.0,01:59,100,100,100,100,100,100,1,Good
4/30/2022,7090016361,0.6,03:33,100,100,15,100,100,86,71,Good
